term,coef,se,t,p,ci_low,ci_high
const,13.156655884420164,21.566103821690334,0.6100617892411202,0.5418208773299282,-29.11213089294451,55.42544266178484
t,-0.0015054966322342463,0.0036064483882889795,-0.4174457721682535,0.6763523810537608,-0.008574005585383172,0.0055630123209146785
post,-3.3493813445813196,1.1427194623487331,-2.9310617828255396,0.0033780559088977128,-5.58907033521781,-1.1096923539448285
t_post,0.013578943350707706,0.003810443517220525,3.5636122906271757,0.0003657861116515901,0.0061106112918313474,0.021047275409584065
sin1,-1.976170352089108,0.5241881527555398,-3.769963784379374,0.00016327123787230507,-3.003560252612546,-0.9487804515656699
cos1,-2.213969035889348,0.5040337518719032,-4.392501549086763,1.120538315450851e-05,-3.2018570365508765,-1.2260810352278195
sin2,-0.2572376542777721,0.5302999402296817,-0.4850795460515387,0.6276199204770146,-1.2966064381316917,0.7821311295761475
cos2,-0.5994556738890802,0.4845857559908164,-1.2370476566390052,0.21606939055570606,-1.5492263030521949,0.35031495527403467
ramadan,-2.074510760199312,1.416217345926406,-1.4648251316554022,0.14296863331729032,-4.850245752495971,0.701224232097347
temp,-0.05152321477533715,0.5662270578187486,-0.09099391147752238,0.9274974289242596,-1.1613078551721632,1.058261425621489
rain,-0.09295410612053565,0.02831066364198491,-3.283360195862172,0.0010257750920658788,-0.14844198723725363,-0.03746622500381767
wind,-1.0818391996582573,0.15730506448302572,-6.877332291961872,6.09837493545961e-12,-1.3901514606307384,-0.773526938685776
rh,0.16889250057282035,0.08403949386303507,2.0096801254904753,0.04446505476814645,0.004178119322296725,0.33360688182334397
holiday,-2.0283640286920828,0.7725507820943204,-2.625541356897417,0.008651129863853028,-3.542535737825202,-0.5141923195589635
dow_1,1.8797394587638345,0.3884989555238757,4.838467213455128,1.3084427447389972e-06,1.11829549790561,2.641183419622059
dow_2,2.4940961318325883,0.4210732617474389,5.923188096727346,3.157593217034122e-09,1.6688077039548008,3.3193845597103757
dow_3,2.2955118374895065,0.37232597317757693,6.165328241537118,7.033708073237506e-10,1.5657663395526296,3.0252573354263834
dow_4,2.104746432760047,0.41410199440738416,5.0826763966015704,3.721534271503497e-07,1.293121437795367,2.9163714277247266
dow_5,1.7643770101428071,0.3743001066332935,4.713803119140945,2.431355945843324e-06,1.03076228173205,2.497991738553564
dow_6,0.1410952757727557,0.3641087097762666,0.38750865327955036,0.6983796800006646,-0.5725446818460739,0.8547352333915853
