cell_id,lon,lat,group,dist_km
"3392,-204",106.6637110481414,-6.398250688741309,control,16.26
"3393,-204",106.69515208308988,-6.398250688746027,control,13.68
"3394,-204",106.72659311802916,-6.398250688748598,control,11.58
"3395,-204",106.75803415297749,-6.398250688746876,control,10.28
"3396,-204",106.78947518790682,-6.398250688742827,control,10.02
"3397,-204",106.8209162228662,-6.398250688745014,control,10.09
"3398,-204",106.85235725781324,-6.39825068874655,control,11.07
"3399,-204",106.88379829275254,-6.398250688746839,control,12.94
"3400,-204",106.91523932768816,-6.398250688740854,control,15.4
"3401,-204",106.94668036264034,-6.3982506887373765,control,17.13
"3402,-204",106.97812139758511,-6.398250688744242,control,18.9
"3403,-204",107.009562432536,-6.398250688745362,control,21.1
"3404,-204",107.04100346746588,-6.398250688741451,control,23.62
"3392,-203",106.66371104814031,-6.366809653444832,control,14.37
"3393,-203",106.69515208308856,-6.366809653442441,control,11.37
"3394,-203",106.7265931180271,-6.366809653443177,control,8.73
"3395,-203",106.75803415297705,-6.366809653447375,control,6.92
"3396,-203",106.78947518791024,-6.366809653448471,control,6.52
"3397,-203",106.82091622286508,-6.366809653443997,control,6.63
"3398,-203",106.85235725781486,-6.36680965344194,control,8.03
"3399,-203",106.88379829275053,-6.366809653442022,control,10.47
"3400,-203",106.91523932769178,-6.3668096534464125,control,12.56
"3401,-203",106.9466803626371,-6.366809653449508,control,14.05
"3402,-203",106.97812139758716,-6.366809653443817,control,16.16
"3403,-203",107.00956243253032,-6.366809653446324,control,18.69
"3404,-203",107.04100346747128,-6.366809653450533,control,21.49
"3392,-202",106.6637110481429,-6.335368618159131,control,13.16
"3393,-202",106.69515208308594,-6.3353686181615725,control,9.79
"3394,-202",106.72659311802975,-6.335368618160816,control,6.55
"3395,-202",106.7580341529777,-6.335368618153335,control,3.8
"3396,-202",106.78947518791108,-6.335368618150763,control,3.02
"3397,-202",106.8209162228672,-6.335368618152301,control,3.25
"3398,-202",106.85235725781438,-6.3353686181527245,control,5.58
"3399,-202",106.883798292748,-6.335368618155605,control,8.43
"3400,-202",106.915239327687,-6.33536861815842,control,9.3
"3401,-202",106.94668036264213,-6.33536861815509,control,11.21
"3402,-202",106.9781213975892,-6.335368618153824,control,13.76
"3403,-202",107.00956243252364,-6.335368618155895,control,16.66
"3404,-202",107.04100346747136,-6.335368618158193,control,19.75
